"","dato","G","g_mnd","year","g_snitt"
"1",2024-05-01,124028,10336,"2024",122225
"2",2023-05-01,118620,9885,"2023",116239
"3",2022-05-01,111477,9290,"2022",109784
"4",2021-05-01,106399,8867,"2021",104716
"5",2020-05-01,101351,8446,"2020",100853
"6",2019-05-01,99858,8322,"2019",98866
"7",2018-05-01,96883,8073,"2018",95800
"8",2017-05-01,93634,7803,"2017",93281
"9",2016-05-01,92576,7715,"2016",91740
"10",2015-05-01,90068,7506,"2015",89502
"11",2014-05-01,88370,7364,"2014",87328
"12",2013-05-01,85245,NA,"2013",84204
"13",2012-05-01,82122,NA,"2012",81153
"14",2011-05-01,79216,6601,"2011",78024
"15",2010-05-01,75641,NA,"2010",74721
"16",2009-05-01,72881,6073,"2009",72006
"17",2008-05-01,70256,NA,"2008",69108
"18",2007-05-01,66812,NA,"2007",65505
"19",2006-05-01,62892,5241,"2006",62161
"20",2005-05-01,60699,5058,"2005",60059
"21",2004-05-01,58778,NA,"2004",58139
"22",2003-05-01,56861,NA,"2003",55964
"23",2002-05-01,54170,NA,"2002",53233
"24",2001-05-01,51360,NA,"2001",50603
"25",2000-05-01,49090,NA,"2000",48377
"26",1999-05-01,46950,NA,"1999",46423
"27",1998-05-01,45370,NA,"1998",44413
"28",1997-05-01,42500,NA,"1997",42000
"29",1996-05-01,41000,NA,"1996",1996
"30",1995-05-01,39230,NA,"1995",38847
"31",1994-05-01,38080,NA,"1994",37820
"32",1993-05-01,37300,NA,"1993",37033
"33",1992-05-01,36500,NA,"1992",36167
"34",1991-05-01,35500,NA,"1991",35033
"35",1990-12-01,34100,NA,"1990",33575
"36",1990-05-01,34000,NA,"",NA
"37",1989-04-01,32700,NA,"1989",32275
"38",1988-04-01,31000,NA,"1988",30850
"39",1988-01-01,30400,NA,"",NA
"40",1987-05-01,29900,NA,"1987",29267
"41",1986-05-01,28000,NA,"1986",27433
"42",1986-01-01,26300,NA,"",NA
"43",1985-05-01,25900,NA,"1985",25333
"44",1984-05-01,24200,NA,"1984",23667
"45",1983-05-01,22600,NA,"1983",22333
"46",1983-01-01,21800,NA,"",NA
"47",1982-05-01,21200,NA,"1982",20667
"48",1981-01-10,19600,NA,"1981",18658
"49",1981-05-01,19100,NA,"",NA
"50",1981-01-01,17400,NA,"",NA
"51",1980-05-01,16900,NA,"1980",16633
"52",1980-01-01,16100,NA,"",NA
"53",1979-01-01,15200,NA,"1979",15200
"54",1978-07-01,14700,NA,"1978",14550
"55",1977-12-01,14400,NA,"1977",13383
"56",1977-05-01,13400,NA,"",NA
"57",1977-01-01,13100,NA,"",NA
"58",1976-05-01,12100,NA,"1976",12000
"59",1976-01-01,11800,NA,"",NA
"60",1975-05-01,11000,NA,"1975",10800
"61",1975-01-01,10400,NA,"",NA
"62",1974-05-01,9700,NA,"1974",9533
"63",1974-01-01,9200,NA,"",NA
"64",1973-01-01,8500,NA,"1973",8500
"65",1972-01-01,7900,NA,"1972",7900
"66",1971-05-01,7500,NA,"1971",7400
"67",1971-01-01,7200,NA,"",NA
"68",1970-01-01,6800,NA,"1970",6800
"69",1969-01-01,6400,NA,"1969",6400
"70",1968-01-01,5900,NA,"1968",5900
"71",1967-01-01,5400,NA,"1967",5400
